issue_number,comment_count,has_solution_comment,all_comments_text,solution_comments,unique_commenters
172215,4,0,"hi i think there is a mismatch in the way how the dataloader is being created in pytorch 2.6.0, in order flag was introduced, which enabled getting batches out of order ( [url] but i think there is some incompatibility with torch npu. can you try with pytorch 2.5.0 instead of 2.6.0 or define in order = true, when you are creating your dataloader? |SEP| however, the official code repository declares that the pytorch version must be 2.5.0 or later. can you point to where it says 2.5 ? i can confirm [inline code] was introduced in pytorch 2.6 and above. also, the code looks fine as we have the attribute [inline code] in the constructor. this code remains unchanged for the last few releases. i suspect this error is because of [inline code] custom dataloader implementation inside [inline code] . see [url] specifically, the dataloader iter definition is patched [here]( [url] which will prevent the [inline code] constructor to be called and hence [inline code] remains undefined at the time of [inline code] . |SEP| thank you all for your help; now i have understood the root cause of the problem. the required pytorch version is [here]( [url] if num workers == 0, the code can be executed successfully. therefore, my priority is to downgrade the version to 2.5.0. if i do not modify the torch version, how can i define [inline code] successfully in [inline code] ? |SEP| iiuc, this is going to remain an issue. is the pytorch version used by torch npu different from the one which is installed (2.6.0)? if so, the easiest way to resolve this would be to fall back to 2.5.0 how can i define in order successfully in add mstx patch.py? that is custom code outside pytorch, so i can just give some guess suggestions. [url] in this line, you are patching the next method that has in order instead, you can copy paste the next method from pytorch 2.5.0, so that it does not have the next method.",,3
172233,2,0,"one issue seems to be that the [inline code] that is specified is wrong -- we don't have a bias but we request to compute the backward for it. so this is user-error. another user error was that i'm not requesting to compute the lse, while i need it for backward. so another user error. given that we could say those are private apis i don't think this is release blocking, but still might be good to add additional checks to make things more robust |SEP| to be fair, you are calling an internal op, rather than public [inline code] method. i suspect lots of error checking is happening there rather than in c++ code",,2
172248,2,1,has a fix here: [url] |SEP| fixed with [url],has a fix here: [url] |SEP| fixed with [url],2
172275,3,1,"any motivation? |SEP| any motivation? not sure what you mean. i am going to submit a fix for this shortly. thanks. |SEP| gfx940 and gfx941 were pre-production. gfx942 is all that exists in the wild from that set, and the other targets are being removed from clang and will produce an error if you explicitly try to write code targeting them.",any motivation? not sure what you mean. i am going to submit a fix for this shortly. thanks.,3
172325,6,0,"yeah, we should be able to support in-place mutation of cond with or without grad computation. [url] was the previous attempt. we need to revive it and carrying it to the finish line. edit: contributions are welcome!! |SEP| thanks for the confirmation . edit: contributions are welcome!! my colleague will start working on this. |SEP| (replying to [url] it looks like this proposal only works for eager mode. do you have a proposal that would work for other execution models? we plan to support both eager and torch.compile. have you tested this proposal in a full end-to-end training pass? we will test this with a simple program with [inline code] with mutation and aliasing in branches. do you have an example end-to-end in mind that we can try out? or any particular concern that could show up in end-to-end pass. |SEP| yeah, we should be able to support in-place mutation of cond with or without grad computation. []( [url] was the previous attempt. we need to revive it and carrying it to the finish line. edit: contributions are welcome!! hi , thanks for the confirmation! i’d be happy to contribute to this issue. do you have any guidance on how i should proceed? cc: |SEP| hi , can start with input mutation support for inference. for training, we need to think about how to preserve the inputs before mutation. see the tests for some simple examples, [url] my suggestion would be first looking at the pr stack and submit a pr to re-implement it. |SEP| do you have an example end-to-end in mind that we can try out? or any particular concern that could show up in end-to-end pass. - do you have a good example the team could use? and can you point the team to any areas of concern they should keep in mind on an end-to-end training pass?",,4
172350,2,0,refer [url] for dtensor [inline code] sharding strategy definition. |SEP| consider rewriting this as a single dim strategy? may be simpler to get right in that framing.,,2
172352,1,0,closing in favor of [url],,1
172399,4,1,"i think this might be related to , if so we can close this out. |SEP| cc |SEP| hi , thanks for the reporting issue! maybe you could see the 's comment and find if anything may help with you? for this issue, maybe we should close it, so that all the information will be in the main issue thread. |SEP| close this issue since it is duplicated with [url]","i think this might be related to , if so we can close this out. |SEP| hi , thanks for the reporting issue! maybe you could see the 's comment and find if anything may help with you? for this issue, maybe we should close it, so that all the information will be in the main issue thread. |SEP| close this issue since it is duplicated with [url]",4
172416,1,1,ci: sev is closed.,ci: sev is closed.,1
172433,2,1,cc |SEP| closed as fixed in [url] and commit pin hase been updated.,closed as fixed in [url] and commit pin hase been updated.,1
172435,2,1,cc |SEP| closed as fixed in [url] and commit pin hase been updated.,closed as fixed in [url] and commit pin hase been updated.,1
172438,3,0,"i can't seem to be able to reproduce: [code block] [code block] the outputs should have been removed by the dce pass. |SEP| i noticed that you are running torch==2.5.1+cu121. please use a newer version (2.8 and higher) which will call the optimize=true option. before that set [inline code] in the export() call. for torch 2.5 you will need [inline code] and set the env var [inline code] , i think. |SEP| got it. thank you very much :)",,2
172439,5,1,"cc: |SEP| don't call llm output ""root cause analysis"". this was a cutlass bug that was fixed [url] |SEP| got there first - the fix is part of the 2.10 release (later this month), or in a nightly build. |SEP| should we close the issue than? |SEP| closing, please reopen if 2.10 doesn't fix it","don't call llm output ""root cause analysis"". this was a cutlass bug that was fixed [url] |SEP| got there first - the fix is part of the 2.10 release (later this month), or in a nightly build. |SEP| should we close the issue than? |SEP| closing, please reopen if 2.10 doesn't fix it",3
172440,5,1,"adding a triage review, as i'm not sure if we have a proper label for it (though linear algebra is probably fine) 16-byte alignment sounds like a reasonable requirement as many simd instructions can not work with unaligned tensors, so it will cause a significant perf penalty |SEP| i see ! didn't know the cpu fallback path can use simd instructions ! thanks ! |SEP| told me that cpu fallback is just a nested loop, so statement about simd is not correct, but on the other hand, but if we think about [inline code] implementation of scaled-mm i think it should check tensor sizes alignments regardless of hw its running on... |SEP| grouped gemm requires alignment only on innermost dimensions, which are model dimensions and putting some constraints on model dimensions does not sound bad to me. it supports any odd offsets/batch dimensions, for both forward and backward computation, so i suggest we close this issue as a won't fix |SEP| grouped gemm requires alignment only on innermost dimensions, which are model dimensions and putting some constraints on model dimensions does not sound bad to me. hi sorry for the confusion ; i'm talking about the data pointer alignement not the dimensions/strides, specifically this check [url] which fails even if the tensor respects the dimension/stride constraints. all it takes is that for example, the tensor is loaded using memmaping from a file that has an offset of 8 bytes (e.g. safetensors files because they only have an 8-bytes-aligned metadata). here's a minimal reproducible that will hopefully make it clear: [code block] will output [code block]","grouped gemm requires alignment only on innermost dimensions, which are model dimensions and putting some constraints on model dimensions does not sound bad to me. it supports any odd offsets/batch dimensions, for both forward and backward computation, so i suggest we close this issue as a won't fix",3
172442,7,1,"cc partition |SEP| possibly related: [url] |SEP| i can repro the error with [inline code] . adding [inline code] fixed the issue. we can also add [inline code] to [inline code] as a workaroud. |SEP| thank you a lot i can do that in transformers test / ci, as long as this ""necessary change"" is what torch team considered as ""non breaking change"" (and in this case, feel free to close this issue). |SEP| this looks like a candidate to add to torchinductor benchmark hf suite? |SEP| yes we should. should fix the issue. let me try to land it to torch-2.10. |SEP| confirmed test is passing with final rc: [code block]","i can repro the error with [inline code] . adding [inline code] fixed the issue. we can also add [inline code] to [inline code] as a workaroud. |SEP| thank you a lot i can do that in transformers test / ci, as long as this ""necessary change"" is what torch team considered as ""non breaking change"" (and in this case, feel free to close this issue). |SEP| yes we should. should fix the issue. let me try to land it to torch-2.10.",5
172459,2,0,[url] the output graph is not very useful as it does not contain the name |SEP| is there a way to specify a name/identifier to nested compile region that can be preserved?,,1
172529,3,1,"hello, i can reproduce a shape inconsistency with torch.isin under torch.compile. expected: torch.isin(elements, test elements) should return a tensor with the same shape as [inline code] . observed: eager returns shape [3], compiled returns a scalar shape []. minimal deterministic repro (no randomness): python import torch device = ""cuda"" also repros on cpu for me elements = torch.tensor([1, 2, 3], dtype=torch.int64, device=device) test elements = torch.tensor([2], dtype=torch.int64, device=device) def func(elements, test elements): return torch.isin(elements, test elements, assume unique=false, invert=false) eager = func(elements, test elements) compiled = torch.compile(func)(elements, test elements) print(""eager:"", eager, eager.shape, eager.dtype, eager.device) print(""compiled:"", compiled, compiled.shape, compiled.dtype, compiled.device) |SEP| update from local testing: i tested the repro on macos using nightly torch 2.11.0.dev20260114. on both cpu and mps: - eager - torch.compile (default) - backend=""aot eager"" - backend=""inductor"" all return the correct shape torch.size([3]) for deterministic and issue-style (randint + .to(device)) repros. so i can’t reproduce the shape mismatch on cpu or mps. the issue is likely specific to cuda/xpu paths (or requires device-specific lowering / codegen). |SEP| fixed by [url]","update from local testing: i tested the repro on macos using nightly torch 2.11.0.dev20260114. on both cpu and mps: - eager - torch.compile (default) - backend=""aot eager"" - backend=""inductor"" all return the correct shape torch.size([3]) for deterministic and issue-style (randint + .to(device)) repros. so i can’t reproduce the shape mismatch on cpu or mps. the issue is likely specific to cuda/xpu paths (or requires device-specific lowering / codegen). |SEP| fixed by [url]",2
172543,6,1,"maybe the storage is invalidated before second pass, cus this works fine [code block] |SEP| cc |SEP| [inline code] can support such case [inline code] beore 1st backward, so fsdp2 keep unsharded params [inline code] before 2nd backward, so fsdp2 release unsharded params in time [code block] |SEP| thanks for this code. its working. you can close this issue. |SEP| thanks for the workaround and the pr -maitra for the second backward pass, would it be better to improve the error message in fsdp (rather than raising the confusing [inline code] ) when [inline code] ? |SEP| i have been thinking abou this. ""out of bounds for storage"" is thrown during dispatching ops(torch.tensor). at best we modify the error msg to hint ""if you use fsdp, can you check if parameters are all-gathered from dtensor to torch.tensor"". that can be a false guess. i might just leave it as is","thanks for this code. its working. you can close this issue. |SEP| thanks for the workaround and the pr -maitra for the second backward pass, would it be better to improve the error message in fsdp (rather than raising the confusing [inline code] ) when [inline code] ?",4
172560,3,0,"i would like to investigate this issue. |SEP| hi , quick clarification: ""no dilation"" means [inline code] (default), not 0. dilation=1 is standard convolution with no gaps. main issue: your stated parameters don't match your output. with [inline code] , [inline code] , [inline code] : the documentation formula is correct. |SEP| thank you for the clarification. i checked again and now with dilation 1 the formula is correct. sorry for the misunderstanding.",,2
172629,6,1,"please file issue again, but run [inline code] so we can know which version of pytorch you are using |SEP| [url] is supposed to address this, it would be included in 2.11. cc |SEP| []( [url] is supposed to address this, it would be included in 2.11. cc []( [url] but the torchao version does not have a corresponding |SEP| please file issue again, but run so we can know which version of pytorch you are using [inline code] pytorch version is 2.9.1 |SEP| solved, thank you. the solution is to pull the docker image [inline code] , or install nvidia's customized version of torch. my torch version is [inline code] |SEP| i just installed cu130 on my gb10 with: [code block] i'm still getting the warning. pip show torch gives: [code block] any idea when 2.11 will be declared stable?","solved, thank you. the solution is to pull the docker image [inline code] , or install nvidia's customized version of torch. my torch version is [inline code]",4
172630,4,1,"while the patches mentioned in [url] fix the ice in the reported reproducer, building pytorch v2.9.1 with gcc 14.3.0 and both patches applied still fails with the same error: [code block] maybe there are additional fixes in the gcc 14.x branch, so that only porting the two patches isn't sufficient. |SEP| [url] well, i have been able to find a workaround for this issue, by adjusting the optimize preprocessor condition to include bf16 - i can create a pr for it. so i think the right action here is put in a workaround so that things work on gcc14 whilst we also report the bug. should the march be bf16 and not fp16? [inline code] |SEP| i noticed this in the error message: [inline code] looking at [inline code] , this looked suspicious: [url] [code block] [inline code] or [inline code] are not included before checking [inline code] . trying this in a simple reproducer always yields [inline code] . including [inline code] or [inline code] yields [inline code] instead, if the c++ standard is new enough. however, this would require building with [inline code] , which pytorch doesn't do. c++17 falls back to the [inline code] branch which causes the ice. --- should the march be bf16 and not fp16? [inline code] i've tried this with the reproducer found in the gcc bug and that worked fine as well. on an ""unpatched"" gcc 14.3.0, both options ( [inline code] and [inline code] ) fail similarly. |SEP| well, i have been able to find a workaround for this issue, by adjusting the optimize preprocessor condition to include bf16 - i can create a pr for it. so i think the right action here is put in a workaround so that things work on gcc14 whilst we also report the bug. having a general workaround is a good idea i think. also agreed that this should be reported. looking through the gcc bugs, i haven't found a bug for this aside from the one listed in this issue.","while the patches mentioned in [url] fix the ice in the reported reproducer, building pytorch v2.9.1 with gcc 14.3.0 and both patches applied still fails with the same error: [code block] maybe there are additional fixes in the gcc 14.x branch, so that only porting the two patches isn't sufficient. |SEP| [url] well, i have been able to find a workaround for this issue, by adjusting the optimize preprocessor condition to include bf16 - i can create a pr for it. so i think the right action here is put in a workaround so that things work on gcc14 whilst we also report the bug. should the march be bf16 and not fp16? [inline code] |SEP| well, i have been able to find a workaround for this issue, by adjusting the optimize preprocessor condition to include bf16 - i can create a pr for it. so i think the right action here is put in a workaround so that things work on gcc14 whilst we also report the bug. having a general workaround is a good idea i think. also agreed that this should be reported. looking through the gcc bugs, i haven't found a bug for this aside from the one listed in this issue.",2
172693,5,1,"cc |SEP| looking at this. |SEP| using backend=""aot eager"", and backend=""eager"" it works fine this is an inductor issue cc |SEP| oh yes, i already tested that. sorry i forgot to mention that! thanks for taking a look |SEP| this fix the issue above, need to add unit tests and have it looked at by inductor folks [url]","this fix the issue above, need to add unit tests and have it looked at by inductor folks [url]",3
172712,3,0,"label ""topic: fuzzer"" |SEP| this is caused by the lack of an [inline code] implementation in the mkldnncpu backend; the [inline code] path reduces linear layers to [inline code] , while mkldnncpu backend only supports a subset of operators, triggering a [inline code] . you can convert the input to dense before torch.compile to avoid this issue. |SEP| [inline code] 这是由于mkldnncpu 后端缺少实现所致；该 [inline code] 路径将线性层简化为 [inline code] ，而 mkldnncpu 后端仅支持运算符的子集，从而触发了 [inline code] 。 []( [url] 您可以在 torch.compile 之前将输入转换为密集型，以避免此问题。 thanks！",,2
172728,18,1,"cc |SEP| i am working on it. would try to come up with a fix soon |SEP| i have raised the pr for this issue. ptal |SEP| we have [inline code] to skip dynamic shapes in cudagraph regions. we could similarly add a skip for unbacked shapes only. but i'm not sure the current behavior is a bug ? there's nothing unsafe about taking in an unbacked int. cc |SEP| i agree. but if this unbacked int is data dependent, we need a way to make any operations related to it cudagraph unsafe.. in the vllm use-case specifically, we don't want to skip all dynamic sizes as we mark the batch size as dynamic and then we'd be skipping the whole graph. we might also transition the batch size to unbacked in the future so if we do that we need a way to distinguish between the batch size (cudagraph safe) and the split point (cudagraph unsafe). the most general solution would be to have a way of ""tagging"" unbacked and dynamic ints as cudagraph safe/unsafe. that way users can directly decide which dims are cudagraph safe and which aren't. |SEP| yes, agreed we should add an api for tagging particular symints. in this instance, it's perhaps unprofitable, but it's not unsafe, since we add guards/respecialize for each unique input. |SEP| this might be due to vllm dropping guards but where does the specialization happen? because we did not see it happen and so the answer was wrong because the data-dependent shapes got locked into cudagraphs. hoping to discuss adding this api at the thursday sync. |SEP| there is a mismatch between pt cudagraph tree and vllm cudagraphwrapper the graph partition signature is [code block] pt2 cudagraph tree collects all ints in the arguments ( [inline code] in this example) and find the corresponding cudagraph. [url] in vllm, we wrap cudagraphwrapper on [inline code] . it does not check all ints in the arguments (thus ignoring [inline code] ). it assumes the only dynamic shape is batch size and only checks the [inline code] (aka batch size). [url] going forward, we can mark an unbacked symint as cg unsafe and exclude all related ops. |SEP| 2.11 milestone for discussion |SEP| cc any thoughts on an api that marks specific [inline code] s as cudagraph-unsafe? |SEP| if we are good with adding the ability to mark specific symints as cudgraph-unsafe, has bandwidth to implement the feature. |SEP| api that marks specific [inline code] s as cudagraph-unsafe? the idea is fine for me,but, can we use terminology other than safe / unsafe for dynamic shapes that are allowed or not allowed in cuda graphs? it seems like everything is “safe” in the sense of correctness, but inductor will perform dynamic dispatch on dynamic shapes and recapture the graph. what we want is to control when to allow dynamic shapes in a cuda graph. maybe something like cudagraph capturable? for example: torch. dynamo.set cudagraph capturable(s0/u0, true/false) also, just for clarification: when s0 is not cudagraph capturable, we will skip the entire graph containing it if graph partition=false. if graph partition=true, we will split the graph—i.e., find the maximal subgraph that does not include s0 and cuda-graph that part this is something that happens automatically in inductor, right, and not something vllm has to handle manually? is my understanding correct? |SEP| torch. dynamo.set cudagraph capturable(s0/u0, true/false)? my concern is that users may not know which s0/u0 to mark. it might be fine for s0 as [inline code] . but it's a bit hard to know exactly the name as u0 (or some other number like u1728). maybe it's easier to mark a custom op such that all of its output symints are cudagraph unsafe? when s0 is not cudagraph capturable, we will not skip the whole graph that have it if graph partition=false, if graph partition=true we will wsplit it, namely find the maximal subgraph that does not include s0 and cuda-graph that part. iiuc this config should only have impact on inductor graph partition. inductor graph partition identifies all ops that use these cg-unsafe symints and splits these ops outside graph partitions. -turnansky thanks for help! i have a pr to potentially fix the issue since there are some api design. |SEP| we also need to think when this annotations happens, the easiest idea would be to mark the symint as cudagraph safe/unsafe upon creation (or included/excluded - sorry laith). but i guess then we're mixing concerns a little bit |SEP| i feel the confusion here mostly stems around the fact that we occasionally do support dynamic shapes with cudagraphs (batch size, by retracing the cudagraph for multiple sizes). in principle, if you had a cuda graph unsafe op that returned a tensor of size u0, the extent processing this u0 could be cudagraphed if you were willing to record cudagraphs for multiple distinct values of u0. is this actually a good idea? well with multiple symbols you will quickly get an explosion of possible combos, so maybe not. if you only care about identifying the batch dynamic symbol, life is relatively simple: there is one symbol which is ok to cudagraph and all the other symbols are not ok. the api here ought to be related to whatever is also setting up the dispatch/record multiple graphs per size. |SEP| if the batch size is the only “cuda graph–safe” dynamic dimension, then we can add an argument to mark dynamic and mark unbacked as well, and disallow everything else. are there any other dynamic shapes we want to allow in cuda graphs for the vllm use case? |SEP| are there any other dynamic shapes we want to allow in cuda graphs for the vllm use case? not that i know of, because we currently have a linear amount of cudagraphs and with any other size we'd get a quadratic amount which is unsustainable. the only other case would be if a symint is constrained to the batch size but hopefully then we can express it in terms of batch size directly. for example, if we want to pad the batch size to a multiple of 4 for specific ops, we'd want to make sure that works correctly and doesn't get ops excluded from cudagraphs. |SEP| are there any other dynamic shapes we want to allow in cuda graphs for the vllm use case? not that i know of, because we currently have a linear amount of cudagraphs and with any other size we'd get a quadratic amount which is unsustainable. the only other case would be if a symint is constrained to the batch size but hopefully then we can express it in terms of batch size directly. for example, if we want to pad the batch size to a multiple of 4 for specific ops, we'd want to make sure that works correctly and doesn't get ops excluded from cudagraphs. if we did padding the size will be a function of the batch size, i dont think that would be an issue.","i am working on it. would try to come up with a fix soon |SEP| torch. dynamo.set cudagraph capturable(s0/u0, true/false)? my concern is that users may not know which s0/u0 to mark. it might be fine for s0 as [inline code] . but it's a bit hard to know exactly the name as u0 (or some other number like u1728). maybe it's easier to mark a custom op such that all of its output symints are cudagraph unsafe? when s0 is not cudagraph capturable, we will not skip the whole graph that have it if graph partition=false, if graph partition=true we will wsplit it, namely find the maximal subgraph that does not include s0 and cuda-graph that part. iiuc this config should only have impact on inductor graph partition. inductor graph partition identifies all ops that use these cg-unsafe symints and splits these ops outside graph partitions. -turnansky thanks for help! i have a pr to potentially fix the issue since there are some api design.",8
172739,3,0,"high priority for segfault |SEP| hmm, here's what i observe on the latest branch, it does give an error message [inline code] . and this is expected, even in the new api. you can only load and run the .so on the inputs with the same shape and device. [code block] if you run with [inline code] , you'll get a even better error message ""error: input handles[0]: unmatched device type, expected: 00(cpu), but got: 1"" |SEP| well, i can repro the segfault you see with the following script tho, when your compilation time input is cuda, but load on cpu. this is still illegal in the new api because your compile-time and run-time inputs are on different devices. in the new [inline code] api, you can't specify the load device anymore, you can only specify the device index. we should give a better error message than segfault here tho. [code block]",,2
172744,4,1,"seems to work fine for me with the following versions: [code block] [code block] might be misunderstanding smthg tho lmk if that's the case |SEP| -malhotra09 thanks for checking! just adding a bit more info from my side — this might be platform-dependent. on my setup the script crashes in eager mode with glibc reporting heap corruption: [code block] environment (summarized): os: ubuntu 22.04 (x86 64, glibc-2.35) python: 3.10.16 (conda-forge) pytorch: 2.9.1+cu128 (pip) also, even on macos the eager output shows: [code block] which is already not mathematically correct for this case (identity solve should give [inline code] ), so it looks like the same underlying issue just manifests differently depending on allocator/runtime (glibc abort vs. silent nan). so the repro seems valid, just not identical across platforms. |SEP| this appears to be due to invalid ldl factors and pivots. manually constructing lds and all-zero pivots can lead to undefined behavior (or even c++ crashes). [code block] [inline code] can fix this issue on my side. |SEP| as it says int he docs, the inputs should come from [inline code] , otherwise the function is not defined. we cannot raise a nice error as that would be too costly as we would need to iterate the whole input. same happens for [inline code] .",this appears to be due to invalid ldl factors and pivots. manually constructing lds and all-zero pivots can lead to undefined behavior (or even c++ crashes). [code block] [inline code] can fix this issue on my side.,4
172747,12,1,"what’s broken is that torch.compile (torchdynamo + inductor) miscompiles dtype-changing view() operations by treating them as safe aliasing views, even though they reinterpret storage at the byte level. which is why compiling an unrelated bf16 path or adding a “no-op” reshape changes the q6 k result (the compiled kernel ends up reading misaligned or stale bytes, yielding 0.0625 instead of 1.0) the proper fix in pytorch is to treat dtype-changing views as unsafe, either force a materializing copy (or alignment/lifetime barrier) when view(dtype) changes element size, or tighten alias analysis so inductor cannot reuse storage across such reinterpret casts. a practical workaround is to avoid view(dtype) under torch.compile: replace it with to(dtype) (copy), or insert clone() / contiguous() right after any dtype reinterpretation, or keep gguf dequant code out of compiled regions; all of these prevent buffer reuse and restore correctness at the cost of a small copy. |SEP| does this diagnosis and proposed fix sound correct to you? should [inline code] that changes element size be treated as unsafe in inductor (copy-on-view or a no-alias/lifetime barrier), rather than a normal aliasing view, to prevent cross-graph buffer reuse and miscompilation in cases like gguf dequant? |SEP| [inline code] (like [inline code] in c++) is different from [inline code] (like [inline code] ), so it needs to be separately implemented in [inline code] . let's see how the pytorch developers plan to implement this. currently i'm working around this using explicit bit manipulation: [url] |SEP| this seems like inductor issue i have tried with aot eager inductor decomps backend and the accuracy passes, can you take a look? this is high prio, not just because of incorrect results, but also because it affects comfyui which relies on torch.compile to speedup image-video gen models. |SEP| i did root cause and added debug on above repro code. my observation is that some shapes in compile of qk 6 while we are using factory wrapper like (wrap compile) are created as dynamic shape. as compile think it is an extension of earlier compile. if i do add dynamo reset in between 2 compiles the code works as expected. i think this issue can be seen anywhere if someone is using factory wrapper but different closures. the fix is to add hashed closures as property in class codeid so that whenever we use different closures we generate different codeid. and , do let me know your opinion on the root cause and fix. |SEP| yes it happens only when a closure is used. if i remove [inline code] and directly call [inline code] , it does not happen. |SEP| cc , i tested this only reprod with dynamic shapes. thus the recompile. can you take a look ? |SEP| added this to the bug bash to look at next week |SEP| removing myself from assignees. i think i might have been added by mistake. please feel free to re-assign me if my attention is needed. |SEP| torchdynamo generates identical cache keys (codeid) for factory-wrapped functions (like wrap compile) because it hashes the code object without hashing the bound closure variables, causing the second compilation (dequantize blocks q6 k) to falsely hit the cache of the first (dequantize blocks bf16) and execute with stale static assumptions (e.g. wrong shape/stride constants for view(dtype)). [code block] |SEP| -logic , attached pr does similar work. can you review the attached pr? |SEP| -in code review & audit: pr first off, excellent root-cause analysis. you successfully traced a very stealthy cache-poisoning bug back to its origin: dynamo treating dynamically generated functions (closures) as identical because it was only hashing the code object. the added test case (test factory created functions separate pgo state) is bulletproof and perfectly isolates the issue. however, while the fix works for this specific reproducer, there are a couple of system-level edge cases regarding python's cell semantics and distributed caching that we need to harden before this gets merged into main. here is my audit: 1. the valueerror blast radius (cell empty exception) in python, accessing c.cell contents on an uninitialized cell doesn't return none; it raises valueerror: cell is empty. in your implementation: [code block] because the try...except wraps the entire tuple comprehension, if even one cell in the closure is uninitialized, the exception is thrown, the comprehension aborts, and closure hash silently falls back to none. this leaves the function vulnerable to the exact same cache collision bug we are trying to fix if it happens to have mixed initialized/uninitialized cells. fix: handle the valueerror on a per-cell basis. 2. the ephemerality of id() and remote pgo in get closure content: [code block] using id(content) is a classic trap in caching layers. id() is tied to the memory address of the object, which is strictly tied to the lifecycle of the current python process. if a user is leveraging remote pgo (which relies on codeid to serialize state across distributed nodes or disk caches—see automatic dynamic remote pgo in pgo.py), id() will result in non-deterministic hashes across different runs. this will cause remote cache misses and trigger silent recompilations. fix: if the object isn't a code object, attempt to hash its actual value (if it is immutable/hashable) before falling back to id(). we want to preserve determinism as much as possible for remote caches. suggested code refactoring here is a hardened version of your logic that handles both the per-cell valueerror and improves the determinism of the hash: [code block] summary the pr is fundamentally correct in its approach. update the valueerror handling to prevent the whole hash generation from aborting. patch id() to prioritize actual object hashing for remote cache determinism. drop these updates in, and from an engineering perspective, this is a beautiful fix to a nasty bug. great job tracking this down!","what’s broken is that torch.compile (torchdynamo + inductor) miscompiles dtype-changing view() operations by treating them as safe aliasing views, even though they reinterpret storage at the byte level. which is why compiling an unrelated bf16 path or adding a “no-op” reshape changes the q6 k result (the compiled kernel ends up reading misaligned or stale bytes, yielding 0.0625 instead of 1.0) the proper fix in pytorch is to treat dtype-changing views as unsafe, either force a materializing copy (or alignment/lifetime barrier) when view(dtype) changes element size, or tighten alias analysis so inductor cannot reuse storage across such reinterpret casts. a practical workaround is to avoid view(dtype) under torch.compile: replace it with to(dtype) (copy), or insert clone() / contiguous() right after any dtype reinterpretation, or keep gguf dequant code out of compiled regions; all of these prevent buffer reuse and restore correctness at the cost of a small copy. |SEP| does this diagnosis and proposed fix sound correct to you? should [inline code] that changes element size be treated as unsafe in inductor (copy-on-view or a no-alias/lifetime barrier), rather than a normal aliasing view, to prevent cross-graph buffer reuse and miscompilation in cases like gguf dequant? |SEP| i did root cause and added debug on above repro code. my observation is that some shapes in compile of qk 6 while we are using factory wrapper like (wrap compile) are created as dynamic shape. as compile think it is an extension of earlier compile. if i do add dynamo reset in between 2 compiles the code works as expected. i think this issue can be seen anywhere if someone is using factory wrapper but different closures. the fix is to add hashed closures as property in class codeid so that whenever we use different closures we generate different codeid. and , do let me know your opinion on the root cause and fix. |SEP| -in code review & audit: pr first off, excellent root-cause analysis. you successfully traced a very stealthy cache-poisoning bug back to its origin: dynamo treating dynamically generated functions (closures) as identical because it was only hashing the code object. the added test case (test factory created functions separate pgo state) is bulletproof and perfectly isolates the issue. however, while the fix works for this specific reproducer, there are a couple of system-level edge cases regarding python's cell semantics and distributed caching that we need to harden before this gets merged into main. here is my audit: 1. the valueerror blast radius (cell empty exception) in python, accessing c.cell contents on an uninitialized cell doesn't return none; it raises valueerror: cell is empty. in your implementation: [code block] because the try...except wraps the entire tuple comprehension, if even one cell in the closure is uninitialized, the exception is thrown, the comprehension aborts, and closure hash silently falls back to none. this leaves the function vulnerable to the exact same cache collision bug we are trying to fix if it happens to have mixed initialized/uninitialized cells. fix: handle the valueerror on a per-cell basis. 2. the ephemerality of id() and remote pgo in get closure content: [code block] using id(content) is a classic trap in caching layers. id() is tied to the memory address of the object, which is strictly tied to the lifecycle of the current python process. if a user is leveraging remote pgo (which relies on codeid to serialize state across distributed nodes or disk caches—see automatic dynamic remote pgo in pgo.py), id() will result in non-deterministic hashes across different runs. this will cause remote cache misses and trigger silent recompilations. fix: if the object isn't a code object, attempt to hash its actual value (if it is immutable/hashable) before falling back to id(). we want to preserve determinism as much as possible for remote caches. suggested code refactoring here is a hardened version of your logic that handles both the per-cell valueerror and improves the determinism of the hash: [code block] summary the pr is fundamentally correct in its approach. update the valueerror handling to prevent the whole hash generation from aborting. patch id() to prioritize actual object hashing for remote cache determinism. drop these updates in, and from an engineering perspective, this is a beautiful fix to a nasty bug. great job tracking this down!",8
172784,5,0,"i wonder if it is due to the version converter. |SEP| oh yeah, it might be. i can take a look. the torch version in this repro is old though. |SEP| i can't repro this. i am using torch-nightly and the following onnx related packages: onnx 1.20.1 onnx-ir nightly onnxscript nightly [code block] |SEP| the print out says opset=20, gridsample: has metadata=false |SEP| oops, i missed that.",,2
172812,3,0,"cc -team |SEP| silent correctness bug, high priority |SEP| i have implemented solution to compute global shape using all-gather",,3
172815,2,1,"using the fix linked in the description, shows that it does indeed fix the issue. |SEP| closing since resolved.","using the fix linked in the description, shows that it does indeed fix the issue. |SEP| closing since resolved.",2
